pitch_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
-90.36457526657901,0.012248623464943882,0.012001035339931914,4,0.010007315310530764,0.005737844321433395,0.004118198587317637
-88.24976493186091,0.015926515376061275,0.013218301003057443,26,0.011220304507582641,0.010455040282560687,0.004295438449223807
-86.13495459714278,0.015168160420605183,0.012750477720456236,33,0.00975626983263253,0.010708468461457649,0.004496331027409449
-84.02014426242465,0.013282260610031738,0.011885025488158986,41,0.00823979916383269,0.009755925140777106,0.003653228886896633
-81.90533392770655,0.0131266760652075,0.011444725337623906,44,0.008558348098266546,0.009514480868679898,0.0029221492346067916
-79.79052359298842,0.012019724585982933,0.009821399451782767,24,0.008201877916188625,0.008198837454072736,0.003159437002460097
-77.67571325827032,0.01590569158552835,0.014123118289429675,20,0.012973085789777319,0.008490940106442631,0.0035488034622713554
-75.56090292355219,0.012322499768534844,0.011754872864225182,15,0.007832348621190133,0.008727521948104186,0.003785323799497481
-73.44609258883409,0.014781303741142721,0.014062754369017817,7,0.006776517114936145,0.012669609662311282,0.0034708424169884082
-71.33128225411596,0.012261421017312436,0.011872600450926267,4,0.005957267536092837,0.008579263135872055,0.0064225892685639135
-69.21647191939783,0.020144390220578155,0.01730356534223367,5,0.01470202309601704,0.012712578592604253,0.005295027834673444
-67.10166158467973,0.0168496110228249,0.016358098431722007,2,0.006198791473706532,0.014958180989390248,0.004662316738988209
