n_train,vector_rmse_train_m,vector_mae_train_m,vector_rmse_test_m,vector_mae_test_m
180,0.012362278959944453,0.01062683053987092,0.015212033054085127,0.013364494201556368
332,0.013921448602826661,0.01178603930204766,0.014977967305196765,0.012873431510596499
484,0.01441099736451467,0.01218208054323769,0.014567853303058155,0.012601170180488837
635,0.014058193657062318,0.011994049706908838,0.014399519501298677,0.012478005132827246
786,0.013954863814211179,0.011917188417387838,0.014344587214525301,0.012422188757273845
938,0.014308152866750965,0.012161349651028544,0.014299338721107143,0.012409033473537183
