roll_center_deg,roll_rmse_m,pitch_center_deg,pitch_rmse_m,yaw_center_deg,yaw_rmse_m,count_roll,count_pitch,count_yaw
14.17081812742014,0.012039355945451505,-90.36457526657901,0.012248623464943882,26.25629111512437,0.012138133012244444,4,4,10
17.580960302958918,0.013422648805262116,-88.24976493186091,0.015926515376061275,29.42522832924074,0.010670435223460685,14,26,12
20.991102478497695,0.013947438470003251,-86.13495459714278,0.015168160420605183,32.594165543357114,0.013692580112263236,10,33,29
24.401244654036468,0.017424702232497584,-84.02014426242465,0.013282260610031738,35.76310275747349,0.011129393396148681,21,41,20
27.811386829575245,0.01451019123752071,-81.90533392770655,0.0131266760652075,38.93203997158986,0.014780191115582224,27,44,33
31.22152900511402,0.015331586022891865,-79.79052359298842,0.012019724585982933,42.10097718570623,0.01362023789121007,36,24,33
34.6316711806528,0.013293143151668838,-77.67571325827032,0.01590569158552835,45.269914399822596,0.013085075251266492,36,20,24
38.041813356191575,0.012385292991869584,-75.56090292355219,0.012322499768534844,48.43885161393898,0.017155569900323003,22,15,19
41.45195553173035,0.012502891639155411,-73.44609258883409,0.014781303741142721,51.60778882805535,0.0164781356572337,24,7,20
44.86209770726913,0.012964900116674248,-71.33128225411596,0.012261421017312436,54.77672604217172,0.010058113568629576,20,4,11
48.2722398828079,0.017159176932986724,-69.21647191939783,0.020144390220578155,57.94566325628809,0.017373968466952654,9,5,10
51.682382058346676,0.008880711569421352,-67.10166158467973,0.0168496110228249,61.11460047040447,0.007056260796031384,2,2,4
