yaw_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
26.25629111512437,0.012138133012244444,0.010071389166465088,10,0.008046912452970074,0.008108525802134106,0.004102838324050679
29.42522832924074,0.010670435223460685,0.009851591496097366,12,0.006949639216719165,0.0072108113503685884,0.0036830561066735074
32.594165543357114,0.013692580112263236,0.012677537621383291,29,0.007066668089809775,0.010989458712956774,0.004096431304859071
35.76310275747349,0.011129393396148681,0.010064850250210776,20,0.006766610724126525,0.007669002412862894,0.004388938216229172
38.93203997158986,0.014780191115582224,0.013329272420683956,33,0.010751493967677014,0.009623861150170455,0.0032001130352505075
42.10097718570623,0.01362023789121007,0.011610619316589037,33,0.010483081148441039,0.008064166995251577,0.0032534751452946136
45.269914399822596,0.013085075251266492,0.011669313522692624,24,0.0072484031017964155,0.010379461979335685,0.0033085670349412523
48.43885161393898,0.017155569900323003,0.014767698348034874,19,0.013025921938004016,0.010039560729046791,0.00488325266985805
51.60778882805535,0.0164781356572337,0.013978203823031773,20,0.011394156268555923,0.010922740982422893,0.004732429301830487
54.77672604217172,0.010058113568629576,0.008945990725166851,11,0.006700927987565886,0.006777529442935384,0.0032137683978548572
57.94566325628809,0.017373968466952654,0.015592374920361987,10,0.010426685479199956,0.013053693447676413,0.004768657838700086
61.11460047040447,0.007056260796031384,0.006623514843888837,4,0.004096061998020197,0.004463581537665236,0.0036179458794457263
