roll_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
14.17081812742014,0.012039355945451505,0.011868651940672027,4,0.008113842832215253,0.00807788346880972,0.003722827519469351
17.580960302958918,0.013422648805262116,0.011472856163261292,14,0.006978362544239092,0.010364291013784823,0.004904225620028568
20.991102478497695,0.013947438470003251,0.011857800407852542,10,0.01178549016993757,0.006706622423499408,0.003264119635896709
24.401244654036468,0.017424702232497584,0.015076500332426135,21,0.011725956050448311,0.012038147506954118,0.004604911203810039
27.811386829575245,0.01451019123752071,0.012259464685540249,27,0.010017859729983116,0.009632224118985833,0.004172336839402219
31.22152900511402,0.015331586022891865,0.013555101503763186,36,0.008893277372852195,0.012027346067605832,0.003363048336984586
34.6316711806528,0.013293143151668838,0.011874959641906513,36,0.009772785862947404,0.00809971616204516,0.003949039050457711
38.041813356191575,0.012385292991869584,0.010758386141858856,22,0.008742269200521647,0.00815155161541813,0.0032435193819736192
41.45195553173035,0.012502891639155411,0.010756801969804634,24,0.008368579876580295,0.008218757075590801,0.004329111031399371
44.86209770726913,0.012964900116674248,0.011521202240412438,20,0.007023836883594191,0.010139013726197021,0.003994339886388007
48.2722398828079,0.017159176932986724,0.01505166988959118,9,0.012164406838131595,0.011474141064614638,0.0038482003746277433
51.682382058346676,0.008880711569421352,0.008571177587590035,2,0.0038974487239426888,0.007667053366529031,0.0022120633124500773
