pitch_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
-90.36457526657901,0.011895346455276012,0.011020245030522346,4,0.008637678809463978,0.006802261341363192,0.004540817346423864
-88.24976493186091,0.019134975969791412,0.014941937290132046,26,0.011002054437994957,0.013931470923125744,0.007142567075788975
-86.13495459714278,0.014400813728570938,0.012221364304423332,33,0.009404272772371769,0.009888933040201664,0.004599145147949457
-84.02014426242465,0.012856321409344673,0.011131275445222855,41,0.007226026151329279,0.00983243528753519,0.004048798233270645
-81.90533392770655,0.013789504766464233,0.011871240101754665,44,0.008510350249707699,0.010297819972038269,0.003417497966438532
-79.79052359298842,0.010348252020776272,0.009186572395265102,24,0.006766000762581825,0.007433717604726553,0.002459147712215781
-77.67571325827032,0.014486209489405155,0.012398106046020985,20,0.012065709568560123,0.007356105837970972,0.003186943242326379
-75.56090292355219,0.014440622180700302,0.012944357469677925,15,0.008122621104121208,0.011350603774189949,0.0037038365844637156
-73.44609258883409,0.013799854554235935,0.012217434123158455,7,0.006032993551343679,0.011928391642868519,0.003428185824304819
-71.33128225411596,0.0083393519744277,0.007858911529183388,4,0.0032112165354192257,0.006025594659149647,0.004788013640791178
-69.21647191939783,0.01602129638195038,0.01415948010981083,5,0.01080344244837761,0.010907911695539951,0.004580940585583448
-67.10166158467973,0.012029355391860008,0.009527329355478287,2,0.0013151936000213027,0.011748292483389378,0.0022255980875343084
