yaw_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
26.25629111512437,0.0183610450476408,0.01392633467912674,10,0.007263390813022852,0.014594653621315956,0.008447915315628052
29.42522832924074,0.010853956453502178,0.010007834061980247,12,0.006457440555095673,0.00809883140027523,0.0032432640437036753
32.594165543357114,0.011065416038036346,0.009700257331132889,29,0.006476558279246092,0.00834931991994381,0.0032842790242284536
35.76310275747349,0.010957068763673306,0.01003053318709135,20,0.004935986362397671,0.00872397143393755,0.004425575025379658
38.93203997158986,0.014096436090767384,0.012627805583178997,33,0.008323058485984802,0.011001106351613998,0.0029003203380852938
42.10097718570623,0.013170270249247551,0.0113480594009161,33,0.009945336729288101,0.00817378330975771,0.0027812861371785402
45.269914399822596,0.01304610911756754,0.011228557676076889,24,0.00643519451841712,0.01083181332796812,0.003385420423001051
48.43885161393898,0.01629960909485817,0.013548951596021652,19,0.01240866631269455,0.009557776153087616,0.004511219449341297
51.60778882805535,0.016889240592718124,0.013838166370987892,20,0.010568148456513882,0.011294460855424404,0.006782026495784521
54.77672604217172,0.011691783554852009,0.010492711327970028,11,0.00868083443492651,0.007148107513785362,0.003200857900083065
57.94566325628809,0.01691269688308239,0.015621778555214405,10,0.011599943973124027,0.011653920635581017,0.003958122804760933
61.11460047040447,0.009929599240422249,0.009361053816974163,4,0.005690221209079027,0.007789483293890953,0.0023542020935565233
