alpha,mean_vector_RMSE_m
0.03,0.06105570122599602
0.1,0.050447017699480054
0.3,0.03945721350610256
1.0,0.02911711297929287
3.0,0.02220562919974327
10.0,0.01753982752561569
30.0,0.015224399976432323
100.0,0.014031809754669666
