roll_center_deg,roll_rmse_m,pitch_center_deg,pitch_rmse_m,yaw_center_deg,yaw_rmse_m,count_roll,count_pitch,count_yaw
14.17081812742014,0.012472126632928848,-90.36457526657901,0.011895346455276012,26.25629111512437,0.0183610450476408,4,4,10
17.580960302958918,0.018751827999949455,-88.24976493186091,0.019134975969791412,29.42522832924074,0.010853956453502178,14,26,12
20.991102478497695,0.013300235383212566,-86.13495459714278,0.014400813728570938,32.594165543357114,0.011065416038036346,10,33,29
24.401244654036468,0.0165204219520092,-84.02014426242465,0.012856321409344673,35.76310275747349,0.010957068763673306,21,41,20
27.811386829575245,0.011448762379586697,-81.90533392770655,0.013789504766464233,38.93203997158986,0.014096436090767384,27,44,33
31.22152900511402,0.015172330662608147,-79.79052359298842,0.010348252020776272,42.10097718570623,0.013170270249247551,36,24,33
34.6316711806528,0.012650484219193459,-77.67571325827032,0.014486209489405155,45.269914399822596,0.01304610911756754,36,20,24
38.041813356191575,0.013019594363868237,-75.56090292355219,0.014440622180700302,48.43885161393898,0.01629960909485817,22,15,19
41.45195553173035,0.012380882166326046,-73.44609258883409,0.013799854554235935,51.60778882805535,0.016889240592718124,24,7,20
44.86209770726913,0.01144361961632967,-71.33128225411596,0.0083393519744277,54.77672604217172,0.011691783554852009,20,4,11
48.2722398828079,0.014667497016489506,-69.21647191939783,0.01602129638195038,57.94566325628809,0.01691269688308239,9,5,10
51.682382058346676,0.006896870210766792,-67.10166158467973,0.012029355391860008,61.11460047040447,0.009929599240422249,2,2,4
