roll_center_deg,rmse_m,mae_m,n,rmse_x_m,rmse_y_m,rmse_z_m
14.17081812742014,0.012472126632928848,0.012273099273443222,4,0.00927758403122425,0.007795811165124178,0.0029505458660423756
17.580960302958918,0.018751827999949455,0.01485303696244955,14,0.009463795460760593,0.014498939737677574,0.007200588472187519
20.991102478497695,0.013300235383212566,0.011735820211470127,10,0.011277583427727222,0.006135671399533749,0.00347359967418015
24.401244654036468,0.0165204219520092,0.013600124977529049,21,0.011788120493292809,0.010647507384419441,0.004538186825811863
27.811386829575245,0.011448762379586697,0.00966890249401331,27,0.007171869743615389,0.008007943630218506,0.003938436508178711
31.22152900511402,0.015172330662608147,0.013123211450874805,36,0.008564493618905544,0.011807545088231564,0.0041750408709049225
34.6316711806528,0.012650484219193459,0.011290628463029861,36,0.009009932167828083,0.008185350336134434,0.0034432418178766966
38.041813356191575,0.013019594363868237,0.01080471370369196,22,0.008921160362660885,0.008970445021986961,0.003074711188673973
41.45195553173035,0.012380882166326046,0.010962302796542645,24,0.007649614475667477,0.008659887127578259,0.004447021055966616
44.86209770726913,0.01144361961632967,0.010163962841033936,20,0.005583001766353846,0.009336085058748722,0.003553031710907817
48.2722398828079,0.014667497016489506,0.012578146532177925,9,0.009875364601612091,0.01043639611452818,0.002948606852442026
51.682382058346676,0.006896870210766792,0.006892879493534565,2,0.0028140752110630274,0.006194273009896278,0.0011308328248560429
