n_train,vector_rmse_train_m,vector_mae_train_m,vector_rmse_test_m,vector_mae_test_m
150,0.010471108369529247,0.008832843974232674,0.013878186233341694,0.012082126922905445
308,0.011809619143605232,0.009687254205346107,0.01406767126172781,0.012055444531142712
465,0.01214352622628212,0.01013327855616808,0.014091577380895615,0.011909962631762028
623,0.011842448264360428,0.009874927811324596,0.013896514661610126,0.0118135130032897
780,0.011747038923203945,0.009785368107259274,0.014449994079768658,0.012093640863895416
938,0.012000391259789467,0.010014114901423454,0.014280634000897408,0.012042862363159657
