n_train,vector_rmse_test_m,vector_mae_test_m
123,0.014873737795835566,0.012850393351489499
262,0.014468897465768538,0.012370921714968253
402,0.014439134363961659,0.012272963880631234
541,0.014710791124430026,0.012411629063478504
681,0.014441435739220257,0.012270254818966536
821,0.014436945018749018,0.012204519158394848
